,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,X2urvived
0,0.0375,0.03659756266088288,0.0,1.0,1.0,2.0,2.0,1
1,0.2375,0.01537917417160685,1.0,0.0,0.0,3.0,1.0,1
2,0.4625,0.16231419173453318,0.0,1.0,1.0,1.0,0.0,0
3,0.3125,0.014151057562208049,0.0,0.0,0.0,3.0,2.0,0
4,0.2,0.014931805565640218,1.0,0.0,0.0,3.0,2.0,0
5,0.125,0.04713766070721715,1.0,0.0,2.0,3.0,2.0,0
6,0.35,0.015712553569072387,0.0,0.0,0.0,3.0,2.0,0
7,0.3375,0.029343047399992037,0.0,0.0,0.0,2.0,0.0,0
8,0.35,0.060507970265993034,0.0,0.0,0.0,1.0,2.0,0
9,0.225,0.015175789316712771,0.0,0.0,0.0,3.0,2.0,0
10,0.35,0.015411575213749284,0.0,0.0,0.0,3.0,2.0,0
11,0.35,0.025374310111545468,1.0,0.0,0.0,2.0,2.0,1
12,0.45,0.23422440102965045,1.0,1.0,2.0,1.0,2.0,1
13,0.775,0.020494635090094415,0.0,0.0,0.0,2.0,2.0,1
14,0.0125,0.04015972542654215,0.0,1.0,2.0,3.0,2.0,1
15,0.35,0.015126992566498259,0.0,0.0,0.0,3.0,1.0,0
16,0.45,0.014630827210317115,0.0,0.0,0.0,3.0,2.0,0
17,0.6875,0.2647385704347907,1.0,0.0,0.0,1.0,0.0,0
18,0.2,0.09154270340242172,1.0,5.0,2.0,3.0,2.0,0
19,0.010374999999999999,0.01824998458022693,0.0,0.0,1.0,3.0,2.0,0
20,0.05,0.03259622914329302,1.0,1.0,1.0,3.0,2.0,1
21,0.2625,0.04713766070721715,0.0,2.0,0.0,3.0,2.0,0
22,0.3875,0.11125659048908397,0.0,1.0,0.0,1.0,2.0,1
23,0.35,0.015834545444608664,1.0,0.0,0.0,3.0,2.0,0
24,0.25,0.014102260811993537,0.0,0.0,0.0,3.0,0.0,0
25,0.45,1.0,0.0,0.0,1.0,1.0,0.0,1
26,0.35,0.029757819776815374,0.0,1.0,1.0,3.0,0.0,1
27,0.35,0.10149724044618187,0.0,0.0,0.0,1.0,2.0,0
28,0.025,0.05445717323939373,1.0,3.0,2.0,3.0,2.0,0
29,0.5625,0.051822148727810165,0.0,0.0,0.0,1.0,2.0,0
30,0.375,0.11111839809247648,1.0,0.0,0.0,1.0,0.0,1
31,0.3125,0.014931805565640218,0.0,0.0,0.0,3.0,2.0,0
32,0.3,0.015175789316712771,0.0,0.0,0.0,3.0,2.0,0
33,0.2875,0.015330377421392339,0.0,0.0,0.0,3.0,2.0,0
34,0.35,0.013760683560491965,0.0,0.0,0.0,3.0,2.0,0
35,0.35,0.015126992566498259,1.0,0.0,0.0,3.0,1.0,0
36,0.3,0.07222738817151159,1.0,1.0,1.0,2.0,0.0,0
37,0.025,0.050748620223090936,1.0,1.0,1.0,2.0,2.0,1
38,0.25,0.016908073949327893,0.0,0.0,0.0,3.0,2.0,0
39,0.35,0.015712553569072387,0.0,0.0,0.0,3.0,2.0,0
40,0.4875,0.025374310111545468,0.0,0.0,0.0,2.0,2.0,0
41,0.35,0.014110458666029575,0.0,0.0,0.0,3.0,0.0,0
42,0.2125,0.013907073811135496,0.0,0.0,0.0,3.0,2.0,0
43,0.50625,0.029473237129564348,0.0,0.0,0.0,3.0,2.0,0
44,0.35,0.031425107138144774,0.0,1.0,0.0,3.0,2.0,0
45,0.2125,0.031425107138144774,1.0,0.0,1.0,3.0,2.0,0
46,0.25,0.015330377421392339,1.0,0.0,0.0,3.0,2.0,0
47,0.5875,0.028302115124416098,1.0,1.0,0.0,3.0,2.0,0
48,0.6875,0.03122992013728673,1.0,0.0,0.0,2.0,2.0,1
49,0.6625,0.0535706338814965,1.0,0.0,0.0,1.0,0.0,0
50,0.7375,0.10048070654571319,1.0,2.0,0.0,1.0,2.0,0
51,0.5125,0.013907073811135496,0.0,0.0,0.0,3.0,2.0,0
52,0.3125,0.015411575213749284,0.0,0.0,0.0,3.0,2.0,0
53,0.004125,0.028106928123558056,0.0,0.0,2.0,3.0,2.0,0
54,0.5,0.030253985132996517,0.0,1.0,1.0,3.0,1.0,0
55,0.2375,0.015330377421392339,1.0,1.0,0.0,3.0,2.0,1
56,0.4625,0.015468569817999833,0.0,2.0,0.0,3.0,2.0,0
57,0.7,0.051822148727810165,0.0,0.0,0.0,1.0,2.0,0
58,0.275,0.014110458666029575,0.0,0.0,0.0,3.0,0.0,0
59,0.1625,0.0380614651673182,1.0,0.0,1.0,2.0,2.0,1
60,0.35,0.014110458666029575,0.0,0.0,0.0,3.0,0.0,0
61,0.525,0.06343577527886367,0.0,1.0,1.0,2.0,2.0,0
62,0.125,0.05445717323939373,0.0,3.0,2.0,3.0,2.0,0
63,0.6,0.1497654242623688,0.0,1.0,0.0,1.0,0.0,1
64,0.3875,0.015126992566498259,0.0,0.0,0.0,3.0,1.0,0
65,0.35,0.028302115124416098,0.0,0.0,0.0,3.0,2.0,0
66,0.35,0.015126992566498259,0.0,1.0,0.0,3.0,1.0,0
67,0.35,0.09193307740413781,0.0,0.0,0.0,1.0,2.0,0
68,0.275,0.015411575213749284,0.0,0.0,0.0,3.0,2.0,0
69,0.35,0.13575255909676823,1.0,8.0,2.0,3.0,2.0,0
70,0.35,0.015126992566498259,0.0,0.0,0.0,3.0,1.0,0
71,0.6125,0.12687155055772734,0.0,1.0,2.0,2.0,2.0,0
72,0.4125,0.04015972542654215,1.0,1.0,2.0,3.0,2.0,0
73,0.375,0.031425107138144774,0.0,1.0,0.0,3.0,2.0,0
74,0.225,0.025374310111545468,1.0,0.0,2.0,2.0,2.0,1
75,0.325,0.050748620223090936,1.0,1.0,1.0,2.0,2.0,0
76,0.35,0.014110458666029575,0.0,0.0,0.0,3.0,0.0,0
77,0.2125,0.028220722145058292,1.0,0.0,0.0,3.0,0.0,0
78,0.35,0.5133418122566505,1.0,3.0,2.0,1.0,2.0,0
79,0.35,0.014151057562208049,0.0,0.0,0.0,3.0,2.0,0
80,0.3,0.015126992566498259,1.0,0.0,0.0,3.0,1.0,0
81,0.35,0.015126992566498259,1.0,0.0,0.0,3.0,1.0,0
82,0.375,0.016908073949327893,1.0,0.0,0.0,3.0,2.0,0
83,0.35,0.051822148727810165,0.0,0.0,0.0,1.0,2.0,1
