Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,X2urvived
39.0,29.7,0,0,0,1,0,0
2.0,20.2125,1,1,1,3,2,0
35.0,211.5,1,0,0,1,0,0
52.0,13.5,0,0,0,2,2,0
16.0,8.5167,1,1,1,3,0,0
14.5,14.4542,1,1,0,3,0,0
25.0,7.25,0,0,0,3,2,0
23.0,7.8958,0,0,0,3,2,0
22.0,7.8958,0,0,0,3,2,0
16.0,9.5,0,0,0,3,2,0
31.0,10.5,0,0,0,2,2,0
22.0,7.25,0,0,0,3,2,0
55.0,135.6333,1,0,0,1,0,0
3.0,21.075,1,3,1,3,2,0
25.0,7.65,0,0,0,3,2,0
28.0,16.1,0,1,0,3,2,0
20.0,9.5,0,0,0,3,2,0
28.0,7.75,0,0,0,3,1,0
46.0,26.0,0,0,0,2,2,0
28.0,9.5,0,0,0,3,2,0
44.0,90.0,0,2,0,1,1,0
24.0,27.7208,1,1,0,2,0,0
22.0,21.0,1,0,0,2,2,0
47.0,38.5,0,0,0,1,2,0
36.0,39.0,1,0,3,2,2,0
30.0,13.8583,1,1,0,2,0,0
1.0,12.1833,1,1,1,3,2,0
24.0,8.6625,0,0,0,3,2,0
25.0,7.2292,0,0,0,3,0,0
30.0,7.8958,0,0,0,3,2,0
42.0,26.55,0,0,0,1,2,0
34.0,21.0,0,1,0,2,2,0
28.0,7.75,0,0,0,3,1,0
28.0,7.75,1,0,0,3,1,0
40.0,27.7208,0,0,0,1,0,0
26.0,13.0,0,0,0,2,2,0
20.0,7.05,0,0,0,3,2,0
28.0,8.05,0,0,0,3,2,0
20.0,8.6625,0,0,0,3,2,0
42.0,7.55,0,0,0,3,2,0
0.33,14.4,0,0,2,3,2,0
28.0,7.225,0,0,0,3,0,0
28.0,8.6625,0,0,0,3,2,0
50.0,211.5,0,1,1,1,0,0
28.0,7.25,0,0,0,3,2,0
28.0,22.525,0,0,0,3,2,0
28.0,7.8958,0,0,0,3,2,0
18.0,7.2292,1,0,0,3,0,0
31.0,7.8542,1,0,0,3,2,0
17.0,16.1,1,0,1,3,2,0
24.0,13.0,1,0,0,2,2,0
36.0,0.0,0,0,0,3,2,0
28.0,7.8958,0,0,0,3,2,0
28.0,8.05,0,0,0,3,2,0
34.0,21.0,0,1,0,2,2,0
30.0,21.0,0,1,0,2,2,0
62.0,26.55,0,0,0,1,2,0
20.0,4.0125,0,0,0,3,0,0
22.0,8.6625,1,2,0,3,2,0
37.0,29.7,0,0,1,1,0,0
18.0,7.775,0,0,0,3,2,0
63.0,26.0,0,1,0,2,2,0
20.0,9.8458,0,0,0,3,2,0
28.0,8.4583,0,0,0,3,1,0
31.0,50.4958,0,0,0,1,2,0
28.0,10.5,0,0,0,2,2,0
28.0,30.6958,0,0,0,1,0,0
22.0,9.35,0,0,0,3,2,0
18.0,14.4542,0,1,0,3,0,0
28.0,7.8958,0,0,0,3,2,0
40.0,153.4625,1,0,0,1,2,1
32.0,56.4958,0,0,0,3,2,1
40.0,39.0,1,1,1,2,2,1
28.0,7.75,1,0,0,3,1,1
0.83,18.75,0,1,1,2,2,1
54.0,59.4,1,1,0,1,0,1
4.0,22.025,1,0,2,3,2,1
24.0,26.0,1,1,0,2,2,1
23.0,263.0,1,3,2,1,2,1
22.0,7.75,1,0,0,3,1,1
15.0,7.225,1,0,0,3,0,1
48.0,26.55,0,0,0,1,2,1
42.0,227.525,1,0,0,1,0,1
25.0,30.0,1,1,1,2,2,1
28.0,82.1708,1,1,0,1,0,1
28.0,24.0,1,1,0,2,0,1
41.0,19.5,1,0,1,2,2,1
32.0,26.0,0,1,0,2,2,1
3.0,18.75,0,1,1,2,2,1
28.0,8.1125,0,0,0,3,2,1
62.0,10.5,0,0,0,2,2,1
36.0,26.0,1,1,0,2,2,1
29.0,7.75,0,0,0,3,1,1
30.0,93.5,1,0,0,1,2,1
16.0,8.05,0,0,0,3,2,1
27.0,12.475,1,0,1,3,2,1
22.0,7.75,1,0,0,3,2,1
22.0,151.55,1,0,0,1,2,1
33.0,26.0,1,0,2,2,2,1
28.0,26.0,1,1,0,2,2,1
19.0,8.05,0,0,0,3,2,1
35.0,52.0,1,1,0,1,2,1
18.0,9.8417,1,0,0,3,2,1
28.0,56.4958,0,0,0,3,2,1
32.0,30.5,0,0,0,1,0,1
51.0,26.55,0,0,0,1,2,1
32.5,13.0,1,0,0,2,2,1
50.0,247.5208,1,0,1,1,0,1
44.0,27.7208,1,0,0,1,0,1
32.0,7.8542,0,0,0,3,2,1
33.0,90.0,1,1,0,1,1,1
53.0,51.4792,1,2,0,1,2,1
25.0,7.775,0,1,0,3,2,1
26.0,18.7875,0,0,0,3,0,1
30.0,56.9292,1,0,0,1,0,1
28.0,133.65,1,1,0,1,2,1
28.0,7.8792,1,0,0,3,1,1
26.0,30.0,0,0,0,1,0,1
28.0,79.2,1,0,0,1,0,1
15.0,8.0292,1,0,0,3,1,1
5.0,31.3875,1,4,2,3,2,1
27.0,6.975,0,0,0,3,2,1
9.0,15.9,0,1,1,3,2,1
36.0,135.6333,1,0,0,1,0,1
42.0,13.0,0,0,0,2,2,1
26.0,7.925,1,0,0,3,2,1
28.0,15.2458,0,1,1,3,0,1
31.0,20.525,1,1,1,3,2,1
17.0,108.9,1,1,0,1,0,1
34.0,10.5,1,0,0,2,2,1
28.0,35.5,0,0,0,1,2,1
27.0,8.6625,0,0,0,3,2,1
28.0,30.5,0,0,0,1,2,1
29.0,7.8958,0,0,0,3,0,1
63.0,9.5875,1,0,0,3,2,1
0.92,151.55,0,1,2,1,2,1
58.0,153.4625,1,0,1,1,2,1
3.0,31.3875,0,4,2,3,2,1
47.0,52.5542,1,1,1,1,2,1
51.0,77.9583,1,1,0,1,2,1
